year;month;day;Rm_minus_Rf;SMB;HML;IML;WML;Risk_free
2013;1;2;0.018166225;-0.008459234;0.012114098;-0.018167596;-0.020999201;0.000267781
2013;1;3;0.012985305;-0.003811528;0.005630988;-0.002949183;-0.013564707;0.000267781
2013;1;4;-0.007240117;-0.007160805;-0.013328895;0.00630586;0.005056575;0.000267039
2013;1;7;-0.009255002;0.004816791;0.000470595;0.007030047;0.000137902;0.000267039
2013;1;8;-0.007985779;0.005364299;-0.00021068;0.004008078;0.015689904;0.00026741
2013;1;9;0.009009929;-0.00089087;0.001084307;0.00182525;0.002171874;0.000266667
2013;1;10;-0.000595176;-0.008196322;0.007262612;-0.006062522;0.002464324;0.000265925
2013;1;11;-0.003450517;0.004711193;0.002384285;0.004906498;-0.00306579;0.000266296
2013;1;14;0.006179635;-0.004271449;0.006425155;-0.004393259;-0.004309839;0.000265925
2013;1;15;-0.00416125;-1.88793E-05;0.007164324;-0.000540745;-0.007663569;0.000266296
2013;1;16;0.006204909;-0.011516267;-0.004336664;-0.004058691;0.010937365;0.000268523
2013;1;17;0.007211968;0.00287096;0.009688264;-0.001391452;-0.006798574;0.000267781
2013;1;18;-0.002680881;0.00053201;0.00486329;0.007887401;-0.006158379;0.000268152
2013;1;21;-0.000785945;0.011735595;0.007324432;0.007133699;0.003523788;0.00026741
2013;1;22;0.001919348;-5.9585E-05;0.000417959;0.003006622;0.007536519;0.000268152
2013;1;23;0.000418927;0.000983923;0.007645913;0.004369282;-0.00081277;0.00026741
2013;1;24;-0.006255563;0.005298849;0.003072512;0.008552636;0.003993961;0.000267781
2013;1;28;-0.016832033;0.00687102;-0.010354724;0.004093864;0.013034469;0.00026741
2013;1;29;0.005062343;-0.010570116;-0.002255425;-0.008341497;0.00361887;0.000267039
2013;1;30;-0.013232701;0.000484882;-0.003336221;0.009091975;0.016444258;0.00026741
2013;1;31;0.008454005;-0.005208816;-0.00802608;-0.004604353;0.011073504;0.000268152
2013;2;1;0.00382837;0.014602253;0.003149134;0.006037269;-0.008925266;0.000267781
2013;2;4;-0.008030446;-0.001309095;-0.008096375;-0.001843756;0.009842295;0.000268152
2013;2;5;0.000528097;-0.005593672;0.002706207;-0.005640244;0.001448228;0.000267781
2013;2;6;-0.007687925;-0.006294858;-0.008283105;-0.002602681;0.013768367;0.000267781
2013;2;7;-0.008563104;-0.001441343;-0.007466503;-0.001858925;0.001275012;0.000268894
2013;2;8;0.003237275;0.006996001;-5.2995E-05;0.005636334;-0.000548179;0.000268152
2013;2;13;-0.001504379;-0.004346017;-7.08957E-05;-0.006460199;0.005320488;0.000268152
2013;2;14;-0.005586555;0.00607587;-0.006946353;-0.001791247;0.000741282;0.000268152
2013;2;15;0.002664361;-0.002585145;-0.003423403;0.00582753;-0.00036006;0.000268523
2013;2;18;-0.000206633;0.001014839;-3.35705E-05;0.003685116;0.000264204;0.000269265
2013;2;19;-0.001406701;-0.00110099;0.001839378;0.003557891;0.001737432;0.000268894
2013;2;20;-0.01477259;0.001139507;-0.012791099;0.005296029;0.011207286;0.000268523
2013;2;21;-0.005541873;-0.004828639;-0.00018352;-0.002334061;-0.004440832;0.000268523
2013;2;22;0.007472615;0.005554388;0.006610125;-5.3606E-05;-0.00996271;0.000270006
